state,year,document_title,pdf_link
SD,2017.0,"January 18, 2017",https://apps.sd.gov/HC65C2C/EBS/lettings/01182017final.pdf
SD,2016.0,"December 14, 2016",https://apps.sd.gov/HC65C2C/EBS/lettings/12142016final.pdf
SD,2016.0,"December 7, 2016",https://apps.sd.gov/HC65C2C/EBS/lettings/12072016final.pdf
SD,2016.0,"November 16, 2016",https://apps.sd.gov/HC65C2C/EBS/lettings/11162016final.pdf
SD,2016.0,"November 2, 2016",https://apps.sd.gov/HC65C2C/EBS/lettings/11022016final.pdf
SD,2016.0,"October 19, 2016",https://apps.sd.gov/HC65C2C/EBS/lettings/10192016final.pdf
SD,2016.0,"October 5, 2016",https://apps.sd.gov/HC65C2C/EBS/lettings/10052016final.pdf
SD,2016.0,"September 21, 2016",https://apps.sd.gov/HC65C2C/EBS/lettings/09212016final.pdf
SD,2016.0,"September 7, 2016",https://apps.sd.gov/HC65C2C/EBS/lettings/09072016final.pdf
SD,2016.0,"August 17, 2016",https://apps.sd.gov/HC65C2C/EBS/lettings/08172016final.pdf
SD,2016.0,"August 3, 2016",https://apps.sd.gov/HC65C2C/EBS/lettings/08032016final.pdf
SD,2016.0,"June 15, 2016",https://apps.sd.gov/HC65C2C/EBS/lettings/06152016final.pdf
SD,2016.0,"June 1, 2016",https://apps.sd.gov/HC65C2C/EBS/lettings/06012016final.pdf
SD,2016.0,"May 18, 2016",https://apps.sd.gov/HC65C2C/EBS/lettings/05182016final.pdf
SD,,5/6/16 University Class,https://apps.sd.gov/HC65C2C/EBS/lettings/05062016final.pdf
SD,2016.0,"May 5, 2016",https://apps.sd.gov/HC65C2C/EBS/lettings/05052016final.pdf
SD,2016.0,"May 4, 2016",https://apps.sd.gov/HC65C2C/EBS/lettings/05042016final.pdf
SD,2016.0,"April 20, 2016",https://apps.sd.gov/HC65C2C/EBS/lettings/04202016final.pdf
SD,2016.0,"April 6, 2016",https://apps.sd.gov/HC65C2C/EBS/lettings/04062016final.pdf
SD,2016.0,"March 16, 2016",https://apps.sd.gov/HC65C2C/EBS/lettings/03162016final.pdf
SD,2016.0,"March 2, 2016",https://apps.sd.gov/HC65C2C/EBS/lettings/03022016final.pdf
SD,2016.0,"February 24, 2016",https://apps.sd.gov/HC65C2C/EBS/lettings/02242016final.pdf
SD,2016.0,"February 17, 2016",https://apps.sd.gov/HC65C2C/EBS/lettings/02172016final.pdf
SD,2016.0,"February 3, 2016",https://apps.sd.gov/HC65C2C/EBS/lettings/02032016final.pdf
SD,2016.0,"January 20, 2016",https://apps.sd.gov/HC65C2C/EBS/lettings/01202016final.pdf
SD,2015.0,"December 16, 2015",https://apps.sd.gov/HC65C2C/EBS/lettings/12162015final.pdf
SD,2015.0,"December 3, 2015",https://apps.sd.gov/HC65C2C/EBS/lettings/12032015final.pdf
SD,2015.0,"December 2, 2015",https://apps.sd.gov/HC65C2C/EBS/lettings/12022015final.pdf
SD,2015.0,"November 18, 2015",https://apps.sd.gov/HC65C2C/EBS/lettings/11182015final.pdf
SD,2015.0,"November 4, 2015",https://apps.sd.gov/HC65C2C/EBS/lettings/11042015final.pdf
SD,2015.0,"October 21, 2015",https://apps.sd.gov/HC65C2C/EBS/lettings/10212015final.pdf
SD,2015.0,"October 7, 2015",https://apps.sd.gov/HC65C2C/EBS/lettings/10072015final.pdf
SD,2015.0,"September 16, 2015",https://apps.sd.gov/HC65C2C/EBS/lettings/09162015final.pdf
